CLUSTER,LOC_ID,X,Y,RADIUS,START_DATE,END_DATE,NUMBER_LOC,TEST_STAT,P_VALUE,GBL_PVALUE,OBSERVED,EXPECTED,ODE,GINI_CLUST,START_DATE_1,END_DATE_1
1,3198,3117080.00,10087600.00,14223.83,01/01/2018,31/01/2018,365,9.305168,0.054,0.044,34,14.77,2.3,F,43101,43131
2,1109,3113530.00,10069200.00,2543.28,01/12/2018,31/12/2018,98,7.823779,0.278,0.27,14,3.91,3.58,F,43435,43465
3,2300,3120960.00,10059200.00,911.11,01/10/2018,31/10/2018,16,7.701285,0.307,0.31,7,0.99,7.07,F,43374,43404
4,550,3127950.00,10123000.00,10616.51,01/05/2018,31/05/2018,87,6.226722,0.89,0.92,12,3.54,3.39,F,43221,43251
5,522,3108680.00,10110200.00,8772.95,01/11/2018,30/11/2018,25,5.741942,0.991,0.99,5,0.67,7.48,F,43405,43434
