LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
2933                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12204e+06         1.00717e+07         F 
1656                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12471e+06         1.00679e+07         F 
2953                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12449e+06         1.00705e+07         F 
3138                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12171e+06         1.00716e+07         F 
1652                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12189e+06         1.00663e+07         F 
1653                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12097e+06         1.00666e+07         F 
1641                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12277e+06         1.00663e+07         F 
1829                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11949e+06         1.00691e+07         F 
2257                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12489e+06         1.00681e+07         F 
1858                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1199e+06          1.00675e+07         F 
1838                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11955e+06         1.00682e+07         F 
2228                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1251e+06          1.00688e+07         F 
1637                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12237e+06         1.00661e+07         F 
2929                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12275e+06         1.00718e+07         F 
1848                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11976e+06         1.00675e+07         F 
1657                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12385e+06         1.00666e+07         F 
1839                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11936e+06         1.00687e+07         F 
1856                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12006e+06         1.0067e+07          F 
1818                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11933e+06         1.00689e+07         F 
2956                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1241e+06          1.00713e+07         F 
2225                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12518e+06         1.00687e+07         F 
3141                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11933e+06         1.00695e+07         F 
1853                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11928e+06         1.00692e+07         F 
1820                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11925e+06         1.00692e+07         F 
1841                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11927e+06         1.00686e+07         F 
1636                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1243e+06          1.00667e+07         F 
1800                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12005e+06         1.00669e+07         F 
1810                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12005e+06         1.00669e+07         F 
1811                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12005e+06         1.00669e+07         F 
1819                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11933e+06         1.0068e+07          F 
1854                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11922e+06         1.00684e+07         F 
1857                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11916e+06         1.00693e+07         F 
1837                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11922e+06         1.00681e+07         F 
1804                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11911e+06         1.00685e+07         F 
2239                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12545e+06         1.00687e+07         F 
1850                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11956e+06         1.00672e+07         F 
3126                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11995e+06         1.00713e+07         F 
2237                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12548e+06         1.00695e+07         F 
2244                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12548e+06         1.00695e+07         F 
1846                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11911e+06         1.0068e+07          F 
1852                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11911e+06         1.0068e+07          F 
1821                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11908e+06         1.00681e+07         F 
3144                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11905e+06         1.00698e+07         F 
1831                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11896e+06         1.00694e+07         F 
1864                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11896e+06         1.00694e+07         F 
3130                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.119e+06           1.00697e+07         F 
1648                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12165e+06         1.00657e+07         F 
1669                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12165e+06         1.00657e+07         F 
2230                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12477e+06         1.00667e+07         F 
1866                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11937e+06         1.00671e+07         F 
2221                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.1256e+06          1.00679e+07         F 
1801                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11872e+06         1.00694e+07         F 
1861                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11864e+06         1.00688e+07         F 
1814                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11906e+06         1.00673e+07         F 
2241                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12405e+06         1.00658e+07         F 
1834                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11863e+06         1.00695e+07         F 
1862                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11874e+06         1.00679e+07         F 
3119                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11876e+06         1.00702e+07         F 
3127                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11923e+06         1.00711e+07         F 
1805                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11856e+06         1.00687e+07         F 
3167                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12092e+06         1.00725e+07         F 
1867                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11885e+06         1.00674e+07         F 
1662                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12011e+06         1.00659e+07         F 
2960                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12495e+06         1.00717e+07         F 
1806                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11848e+06         1.00683e+07         F 
3140                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11875e+06         1.00706e+07         F 
1658                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12391e+06         1.00655e+07         F 
2937                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12242e+06         1.00729e+07         F 
1865                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11832e+06         1.00686e+07         F 
3109                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11837e+06         1.00697e+07         F 
2942                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12459e+06         1.00722e+07         F 
3128                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11925e+06         1.00716e+07         F 
1871                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11831e+06         1.00696e+07         F 
3106                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11835e+06         1.00698e+07         F 
3111                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11835e+06         1.00698e+07         F 
3166                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12149e+06         1.0073e+07          F 
2131                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12153e+06         1.00731e+07         F 
2135                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12165e+06         1.00731e+07         F 
3148                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11833e+06         1.00703e+07         F 
2254                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12416e+06         1.00653e+07         F 
3163                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12089e+06         1.00729e+07         F 
1643                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12348e+06         1.0065e+07          F 
1630                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11971e+06         1.00656e+07         F 
1855                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11801e+06         1.00689e+07         F 
1845                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11957e+06         1.00657e+07         F 
3161                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11994e+06         1.00726e+07         F 
2931                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12354e+06         1.00731e+07         F 
2952                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12354e+06         1.00731e+07         F 
1647                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12187e+06         1.00647e+07         F 
3159                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11803e+06         1.007e+07           F 
1859                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11797e+06         1.00697e+07         F 
2132                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.1217e+06          1.00733e+07         F 
