CLUSTER             DATASET             CATEGORY            OBSERVED            EXPECTED            ODE                 
1                   1                   1                   18                  5.12                3.52                
2                   1                   1                   8                   1.32                6.05                
3                   1                   1                   18                  6.29                2.86                
4                   1                   1                   21                  8.17                2.57                
5                   1                   1                   8                   1.65                4.86                
6                   1                   1                   7                   1.27                5.50                
7                   1                   1                   5                   0.67                7.51                
8                   1                   1                   5                   0.68                7.36                
9                   1                   1                   12                  3.92                3.06                
