CLUSTER             LOC_ID                          X                   Y                   RADIUS              START_DATE        END_DATE          NUMBER_LOC          TEST_STAT           P_VALUE             GBL_PVALUE          OBSERVED            EXPECTED            ODE                 GINI_CLUST
1                   1838                            3.11955e+06         1.00682e+07         4117.36             2017/3/1          2017/3/31         165                 9.844629            0.0250              0.024               18                  5.12                3.52                F 
2                   3032                            3.11431e+06         1.0093e+07          9830.55             2017/7/1          2017/7/31         77                  7.742771            0.290               0.28                8                   1.32                6.05                F 
3                   273                             3.1255e+06          1.00786e+07         6322.56             2017/9/1          2017/10/31        78                  7.300040            0.440               0.44                18                  6.29                2.86                F 
4                   387                             3.13921e+06         1.00967e+07         11083.44            2017/12/1         2017/12/31        153                 7.093210            0.541               0.52                21                  8.17                2.57                F 
5                   3589                            3.12931e+06         1.01086e+07         1133.46             2017/11/1         2017/11/30        17                  6.315432            0.849               0.86                8                   1.65                4.86                F 
6                   3310                            3.12658e+06         1.00929e+07         2297.77             2017/9/1          2017/9/30         32                  6.222090            0.893               0.89                7                   1.27                5.50                F 
7                   2367                            3.12042e+06         1.00581e+07         735.34              2017/1/1          2017/1/31         10                  5.756143            0.982               0.98                5                   0.67                7.51                F 
8                   208                             3.11041e+06         1.00592e+07         1343.30             2017/6/1          2017/6/30         10                  5.672049            0.992               0.99                5                   0.68                7.36                F 
9                   42                              3.12537e+06         1.00891e+07         1712.47             2017/3/1          2017/4/30         40                  5.387147            0.997               1.00                12                  3.92                3.06                F 
